Question,Answer
Can Bitint handle Layer 2 blockchains?,"Yes, we fully support major Layer 2 networks like Arbitrum, Optimism, Base, and Polygon."
How do you handle Pig Butchering scams?,Our analysts track large consolidation wallets and exit nodes frequently used by pig butchering syndicates to help victims and law enforcement recover funds.
Does Bitint provide a visual graph?,"Yes, our Investigation Graph provides an interactive visual interface to easily map out transaction flows across multiple hops."
Are there different pricing tiers?,"Yes, we offer multiple pricing tiers based on transaction volume, API usage, and the number of analyst seats required."
What is a Change Address?,"In a UTXO model like Bitcoin, a change address is a new address generated to receive the remaining funds from a transaction."
What does SAR stand for?,"Suspicious Activity Report, a document financial institutions file with FinCEN following suspected money laundering or fraud."
How do I report a vulnerability?,Security researchers can report vulnerabilities by emailing contact@bitint.io.
Where is Bitint located?,We are a globally distributed team with our core operations supporting clients worldwide.
Does Bitint integrate with Chainalysis?,"Bitint is a standalone, advanced alternative to legacy tools like Chainalysis, focusing on transparent white-box risk scoring."
What is your data retention policy?,"Our data retention policies comply with global GDPR and CCPA standards, ensuring sensitive investigation data is handled securely."
What happens if an address is flagged?,"If an address is flagged, the compliance team receives a real-time alert via webhooks and the UI, detailing the exact risk factors and exposure hops."
Can I upload custom watchlists?,"Yes, enterprise users can upload and manage custom internal watchlists alongside our global sanctions and threat intelligence databases."
What is a Darknet Market (DNM)?,"Commercial websites operating on dark web networks frequently used for illicit goods, primarily transacting in cryptocurrency."
How do you identify DNM addresses?,"We use proprietary data collection, active engagement, and clustering heuristics to map out darknet market deposit and withdrawal infrastructure."
Is Bitint GDPR compliant?,"Yes, Bitint fully complies with GDPR regulations and employs privacy-by-design principles throughout our architecture."
What is Wash Trading?,A form of market manipulation where an entity simultaneously sells and buys the same assets to create false activity.
Do you monitor NFTs?,"Our primary focus is on fungible tokens, stablecoins, and core native assets, but we track the flow of value through major NFT marketplaces."
Can I try Bitint for free?,"We do not offer a self-serve free trial, but you can request a live, guided demo using your own addresses."
How do I subscribe to the newsletter?,You can subscribe to our weekly insights via the newsletter popup on our website or the footer section.
What is an Exit Node?,The final destination where illicit cryptocurrency is consolidated before being cashed out to fiat currency.
What happens if a stablecoin is used in a crime?,Stablecoin issuers can use Bitint's Risk Management suite to identify the illicit activity and trigger a freeze on the associated addresses.
How do you trace across bridges?,"Bitint uses cross-chain heuristics to match deposit and withdrawal volumes, timing, and signatures across disparate blockchain protocols."
What are Heuristics?,Rules or algorithms used in blockchain analysis to make educated assumptions about address ownership or transaction patterns.
Can I export data to Excel?,"Yes, all transaction logs, risk scores, and entity attributions can be exported to CSV or Excel formats."
Do you offer white-label reporting?,"Yes, Enterprise tier customers can generate white-labeled PDF reports branded with their organization's logo."
Is Bitint available 24/7?,"Yes, our API infrastructure and platform are available 24/7/365 with a 99.9% uptime SLA."
What is KYC?,Know Your Customer is the mandatory process of identifying and verifying a client's identity when opening an account.
Does Bitint perform KYC?,"No, Bitint performs KYT (Know Your Transaction) and wallet screening. We integrate alongside your existing KYC provider."
What is the Mempool?,The waiting area for transactions that have been broadcast to the network but not yet confirmed in a block.
Does Bitint score unconfirmed transactions?,"Yes, our engine analyzes transactions while they are still in the mempool to provide risk scores before confirmation."
Can I share cases with my team?,"Yes, Bitint supports multi-user collaborative workspaces with role-based access control (RBAC)."
What is a Co-spending Heuristic?,A heuristic used on UTXO blockchains that assumes all inputs funding a single payment are controlled by the same entity.
How do I upgrade my plan?,You can contact your dedicated account manager or email our sales team to upgrade your subscription tier.
Do you trace Monero?,"Currently, Bitint focuses on transparent and pseudonymous ledgers. Privacy coins like Monero require specialized off-chain operational security analysis."
What is your SLA?,We offer a 99.9% uptime Service Level Agreement for our Enterprise API customers.
Can Bitint detect ransomware payments?,"Yes, our intelligence database continuously updates with the latest ransomware group wallet addresses and extortion infrastructure."
Do you offer training for investigators?,"Yes, we provide comprehensive onboarding and advanced blockchain forensics training for our clients."
What is a false positive?,An alert that incorrectly flags a legitimate transaction or address as risky or illicit.
How do you reduce false positives?,By relying on deterministic clustering and transparent white-box scoring rather than broad probabilistic assumptions.
Can I automate alert management?,"Yes, our API allows you to set custom webhooks to automatically trigger or resolve alerts in your internal systems."
What is an attribution?,"The process of linking a pseudonymous blockchain address to a real-world entity, service, or individual."
How do you handle data privacy?,"We trace funds, not people. We do not require or store your customers' PII (Personally Identifiable Information) to perform risk scoring."
What is the Bitint Data Layer?,"Our proprietary, structured dataset of blockchain intelligence that can be accessed directly via API or bulk data feeds."
Can regulators use Bitint?,"Yes, regulatory and supervisory bodies use Bitint to monitor systemic risk and oversee VASP compliance at a macro level."
Do you trace smart contract hacks?,"Yes, our platform is actively used to trace the flow of funds following DeFi exploits, flash loan attacks, and smart contract vulnerabilities."
Is there a limit on API requests?,"API rate limits depend on your pricing tier. High-volume enterprise clients receive dedicated, scalable throughput."
What does it mean to trace funds?,Tracing funds involves following the movement of cryptocurrency from one address to another through the public blockchain ledger.
Who should I contact for a partnership?,You can visit our Partners page or email contact@bitint.io to discuss technology or investigative partnerships.
Do you have an affiliate program?,We offer a referral partner program for consultants and technology integrators. Contact our partnerships team.
What happens to my data if I cancel?,"Upon cancellation, client data is securely purged in accordance with our data destruction protocols and GDPR requirements."
Do you trace stablecoins like USDT and USDC?,"Yes, Bitint fully supports tracing and risk scoring for all major fiat-backed and algorithmic stablecoins across multiple chains."
What is an illicit entity?,"Any address or cluster associated with illegal activities, such as ransomware, terrorism financing, child exploitation, or darknet markets."
How do you handle Tornado Cash?,Our heuristics and clustering algorithms are designed to track deposits and evaluate the risk of withdrawals from mixing services like Tornado Cash.
What is your uptime guarantee?,"We guarantee a 99.9% uptime for our Enterprise APIs, backed by service credits."
Can I integrate Bitint with Salesforce?,"Yes, our REST API allows seamless integration with major CRMs and case management platforms like Salesforce."
Do you monitor TRON?,"Yes, TRON and TRC-20 tokens (especially USDT) are fully supported and monitored in real-time."
What is a Hop?,A hop refers to a single transaction step between addresses. Risk can be calculated based on how many hops away an address is from illicit activity.
Does Bitint provide PII?,"No, we trace on-chain data and attribute it to services (like an exchange), but we do not store the personal names of individual retail users."
Can I use Bitint on my mobile device?,"Our web application is mobile-responsive, allowing you to review alerts and reports on the go, though graphing is best experienced on a desktop."
What is a Blockchain Explorer?,"A tool used to view public blockchain data. Bitint serves as an advanced, intelligence-enriched blockchain explorer."
Does Bitint support custom risk scoring?,"Yes, administrators can configure custom risk thresholds, weights, and rulesets tailored to their organization's specific risk appetite."
What is a Sanctioned Address?,A cryptocurrency address explicitly listed by regulatory bodies like OFAC as belonging to a sanctioned individual or nation-state.
How fast are your OFAC updates?,"Our database ingests OFAC SDN updates continuously, reflecting new sanctions within minutes of their publication."
Can I cancel my subscription at any time?,Subscriptions are typically based on annual contracts. Contact your account executive for specific cancellation terms.
What is a Cold Wallet?,"A cryptocurrency wallet that is not connected to the internet, often used by exchanges to store the majority of their funds securely."
Do you track cold wallet movements?,"Yes, our clustering algorithms identify both hot and cold wallets belonging to a VASP, providing a complete picture of their liquidity."
What is a Hot Wallet?,"A wallet connected to the internet, used for day-to-day transactions and automated withdrawals by services."
Is your documentation available publicly?,"High-level API documentation is available upon request, while detailed endpoints and integration guides are provided during onboarding."
Do you offer proof of concepts (PoCs)?,"Yes, we offer structured PoCs for qualified enterprise clients to evaluate our data accuracy against their existing solutions."
What is a Flash Loan Attack?,"A DeFi exploit where an attacker borrows a massive amount of crypto without collateral, manipulates a market, repays the loan, and profits from the discrepancy all within a single transaction."
Can Bitint trace stolen funds from hacks?,"Yes, investigators use Bitint to track the movement of stolen funds through hops, bridges, and mixers to identify cash-out points."
Do you cover the Binance Smart Chain (BSC)?,"Yes, BSC and BEP-20 tokens are natively supported on the Bitint platform."
What is a Governance Token?,A token that grants its holder voting rights on the development and direction of a blockchain protocol or DAO.
How do you classify high-risk jurisdictions?,"We factor in FATF greylists and blacklists, as well as OFAC comprehensive sanctions, into our geographic risk scoring models."
Do you have a bug bounty program?,"We run private bug bounty programs. If you are a security researcher, please contact us for an invite."
Can I add notes to a transaction?,"Yes, analysts can append notes, tags, and internal IDs to specific transactions or entities within their workspace."
What is a DAO?,Decentralized Autonomous Organization; an entity represented by rules encoded as a computer program that is transparent and controlled by organization members.
What languages does your support team speak?,"Our primary support is in English, with additional support available in select regions depending on enterprise SLA terms."
How do I invite a team member?,Administrators can invite new users via the 'Settings' panel under 'User Management'.
What is a DEX?,"A Decentralized Exchange, a peer-to-peer marketplace where transactions occur directly between crypto traders without an intermediary."
Can I set up email alerts?,"Yes, you can configure alert notifications to be sent via email, webhooks, or Slack/Teams integrations."
What is an unhosted wallet?,A cryptocurrency wallet managed directly by the user rather than hosted by a third-party service like an exchange.
How does Bitint score unhosted wallets?,"Unhosted wallets are scored based on their on-chain behavior, transaction history, and proximity to known illicit entities."
What is the difference between direct and indirect risk?,Direct risk implies a 1-hop transaction with a bad actor. Indirect risk means the funds have passed through intermediaries before reaching the user.
Do you trace the Lightning Network?,Layer 2 solutions like Lightning present unique tracing challenges; we utilize off-chain data and channel opening/closing heuristics to map exposure where possible.
Can I see the exact path of funds?,"Yes, the Investigation Graph visualizes the exact chronological path funds took from an origin to a destination."
What is a heuristic clustering algorithm?,An algorithm that groups multiple addresses together under the assumption they belong to the same entity based on specific on-chain behaviors.
Are your risk scores deterministic?,"We emphasize deterministic rules (e.g., cryptographic proof of control) over probabilistic guesses to ensure high fidelity and low false positives."
Can I generate a report for a subpoena?,"Yes, law enforcement and compliance teams can generate comprehensive, tamper-evident PDF reports for legal proceedings."
What is a Sybil Attack?,A security threat where one entity creates multiple fake identities or nodes to gain disproportionate influence over a network.
Do you monitor Solana?,"Yes, we fully support tracing and monitoring on the Solana blockchain."
How do I change my password?,You can change your password in the 'Account Settings' page or use the 'Forgot Password' link on the login screen.
What is a Phishing Scam?,A fraudulent attempt to obtain sensitive information or crypto assets by disguising oneself as a trustworthy entity.
Does Bitint flag phishing addresses?,"Yes, addresses identified as belonging to phishing campaigns are flagged as High Risk in our database."
Do you offer a self-hosted option?,"Yes, we offer on-premise and VPC peering deployments for enterprise clients who require total data isolation."
What is a Smart Contract Audit?,"A security review of smart contract code to identify vulnerabilities. While we don't perform audits, we monitor the protocols post-deployment."
How long does onboarding take?,"Standard API integrations can be completed in days, while complex enterprise setups and training may take a few weeks."
Who owns Bitint?,"Bitint is a privately held company. For investor relations or media inquiries, please contact our PR team."
